data,produto,categoria,quantidade,preco
2026-06-13,Mouse,Acessorios,1,83.86
2026-03-04,Monitor,Eletronicos,2,942.56
2026-06-23,Carregador,Acessorios,5,55.04
2026-04-19,Notebook,Eletronicos,1,2296.85
2026-03-01,Mesa Escritorio,Moveis,5,678.98
2026-02-20,Carregador,Acessorios,6,62.42
2026-04-18,Monitor,Eletronicos,4,916.07
2026-07-27,SSD,Acessorios,1,441.74
2026-02-10,Carregador,Acessorios,4,58.08
2026-02-09,Monitor,Eletronicos,3,828.4
2026-04-08,Mouse,Acessorios,3,85.56
2026-06-04,Headset,Acessorios,1,230.11
2026-05-18,Mouse,Acessorios,4,73.26
2026-03-17,SSD,Acessorios,6,429.96
2026-08-09,Webcam,Acessorios,5,168.92
2026-01-18,Notebook,Eletronicos,6,2363.95
2026-03-16,Mouse,Acessorios,2,85.86
2026-04-08,Headset,Acessorios,4,225.97
2026-04-04,Teclado,Acessorios,3,145.66
2026-06-21,Headset,Acessorios,6,239.21
2026-06-15,Mouse,Acessorios,5,82.16
2026-05-17,Carregador,Acessorios,2,55.96
2026-04-08,Headset,Acessorios,6,228.28
2026-02-26,Tablet,Eletronicos,3,1923.43
2026-07-18,Notebook,Eletronicos,2,2660.9
2026-07-26,Webcam,Acessorios,4,171.64
2026-02-24,Roteador,Eletronicos,5,301.08
2026-03-22,Monitor,Eletronicos,6,899.86
2026-08-15,Roteador,Eletronicos,6,277.7
2026-03-09,Teclado,Acessorios,2,157.35
2026-05-18,Headset,Acessorios,6,223.72
2026-08-18,Smartphone,Eletronicos,4,3111.68
2026-02-05,Mesa Escritorio,Moveis,4,688.64
2026-01-13,SSD,Acessorios,1,390.84
2026-02-10,HD Externo,Acessorios,6,334.71
2026-01-17,Impressora,Eletronicos,4,662.47
2026-04-30,Mesa Escritorio,Moveis,3,820.66
2026-08-09,Notebook,Eletronicos,6,2610.36
2026-06-24,Roteador,Eletronicos,5,294.05
2026-07-16,Tablet,Eletronicos,3,1660.16
2026-04-22,Teclado,Acessorios,4,135.1
2026-07-04,Roteador,Eletronicos,6,266.75
2026-05-09,HD Externo,Acessorios,2,340.52
2026-01-28,SSD,Acessorios,6,403.07
2026-06-13,Mesa Escritorio,Moveis,5,704.84
2026-04-06,HD Externo,Acessorios,2,342.68
2026-07-19,Roteador,Eletronicos,5,303.44
2026-06-03,Webcam,Acessorios,4,162.7
2026-08-26,Webcam,Acessorios,3,170.62
2026-03-15,Mouse,Acessorios,,80
2026-03-03,Roteador,Eletronicos,5,305.03
2026-01-22,Carregador,Acessorios,4,63.79
2026-07-14,Mesa Escritorio,Moveis,2,694.26
2026-05-02,Mesa Escritorio,Moveis,2,714.76
2026-08-12,Smartphone,Eletronicos,4,3497.19
2026-08-26,Mesa Escritorio,Moveis,6,778.48
2026-07-02,Headset,Acessorios,4,241.79
2026-06-16,Webcam,Acessorios,4,194.39
2026-04-26,Mouse,Acessorios,2,75.6
2026-03-28,Notebook,Eletronicos,5,2526.96
2026-05-31,Monitor,Eletronicos,1,822.78
2026-06-11,Notebook,Eletronicos,2,2283.7
2026-01-09,SSD,Acessorios,3,383.95
2026-03-02,Headset,Acessorios,6,219.36
